task_id,benchmark_id,family,model_route,seed,num_frames,fps,num_inference_steps,cfg_scale,sigma_shift,negative_prompt,prompt,h2_prompt,text_prompt,prompt_source,split,condition_summary_json,video,source_video,condition_path
op34_wan34_0004_s43278311,0004,ball-behind-rotating-paper,WAN_BASE,43278311,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0004.png,physicsiq/inputs/0004.png,
op34_wan34_0004_s56382197,0004,ball-behind-rotating-paper,WAN_BASE,56382197,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0004.png,physicsiq/inputs/0004.png,
op34_wan34_0004_s68491523,0004,ball-behind-rotating-paper,WAN_BASE,68491523,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0004.png,physicsiq/inputs/0004.png,
op34_wan34_0005_s43278311,0005,ball-behind-rotating-paper,WAN_BASE,43278311,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0005.png,physicsiq/inputs/0005.png,
op34_wan34_0005_s56382197,0005,ball-behind-rotating-paper,WAN_BASE,56382197,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0005.png,physicsiq/inputs/0005.png,
op34_wan34_0005_s68491523,0005,ball-behind-rotating-paper,WAN_BASE,68491523,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0005.png,physicsiq/inputs/0005.png,
op34_wan34_0006_s43278311,0006,ball-behind-rotating-paper,WAN_BASE,43278311,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0006.png,physicsiq/inputs/0006.png,
op34_wan34_0006_s56382197,0006,ball-behind-rotating-paper,WAN_BASE,56382197,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0006.png,physicsiq/inputs/0006.png,
op34_wan34_0006_s68491523,0006,ball-behind-rotating-paper,WAN_BASE,68491523,49,24,30,1.2,5,,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0006.png,physicsiq/inputs/0006.png,
op34_wan34_0041_s43278311,0041,cut-orange,WAN_BASE,43278311,49,24,50,1.2,5,,A tangerine that has been cut in half is placed on a glass cutting board. A knife is slicing through the tangerine. Static shot with no camera movement.,A tangerine that has been cut in half is placed on a glass cutting board. A knife is slicing through the tangerine. Static shot with no camera movement.,A tangerine that has been cut in half is placed on a glass cutting board. A knife is slicing through the tangerine. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0041.png,physicsiq/inputs/0041.png,
