scenario,description,category,generated_video_name
0001_perspective-left_take-1_trimmed-ball-and-block-fall.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two pillows are on a table and two grabber tools are positioned above them. The grabber tools release the brown tennis ball and the orange block.,Solid Mechanics,0001_perspective-left_trimmed-ball-and-block-fall.mp4
0002_perspective-center_take-1_trimmed-ball-and-block-fall.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two pillows are on a table and two grabber tools are positioned above them. The grabber tools release the brown tennis ball and the orange block.,Solid Mechanics,0002_perspective-center_trimmed-ball-and-block-fall.mp4
0003_perspective-right_take-1_trimmed-ball-and-block-fall.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. Two pillows are on a table and two grabber tools are positioned above them. The grabber tools release the brown tennis ball and the orange block.,Solid Mechanics,0003_perspective-right_trimmed-ball-and-block-fall.mp4
0004_perspective-left_take-1_trimmed-ball-behind-rotating-paper.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool held the tennis ball above the cardstock and lowered it behind the cardstock. The cardstock sits on the black platform on top of a wooden table. The blue-black grabber tool places the orange tennis ball behind the clockwise-rotating cardstock on the table.,Solid Mechanics,0004_perspective-left_trimmed-ball-behind-rotating-paper.mp4
0005_perspective-center_take-1_trimmed-ball-behind-rotating-paper.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool held the tennis ball above the cardstock and lowered it behind the cardstock. The cardstock sits on the black platform on top of a wooden table. The blue-black grabber tool places the orange tennis ball behind the clockwise-rotating cardstock on the table.,Solid Mechanics,0005_perspective-center_trimmed-ball-behind-rotating-paper.mp4
0006_perspective-right_take-1_trimmed-ball-behind-rotating-paper.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. The blue-black grabber tool held the tennis ball above the cardstock and lowered it behind the cardstock. The cardstock sits on the black platform on top of a wooden table. The blue-black grabber tool places the orange tennis ball behind the clockwise-rotating cardstock on the table.,Solid Mechanics,0006_perspective-right_trimmed-ball-behind-rotating-paper.mp4
0007_perspective-left_take-1_trimmed-ball-hits-duck.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light beige coffee table with a small yellow rubber duck on it. A mustard yellow couch is in the background. There is a black pipe that points from the left side to the right side of the table. The brown tennis ball rolls straight out of the black pipe and hits the rubber duck.,Solid Mechanics,0007_perspective-left_trimmed-ball-hits-duck.mp4
0008_perspective-center_take-1_trimmed-ball-hits-duck.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light beige coffee table with a small yellow rubber duck on it. A mustard yellow couch is in the background. There is a black pipe that points from the left side to the right side of the table. The brown tennis ball rolls straight out of the black pipe and hits the rubber duck.,Solid Mechanics,0008_perspective-center_trimmed-ball-hits-duck.mp4
0009_perspective-right_take-1_trimmed-ball-hits-duck.mp4,Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light beige coffee table with a small yellow rubber duck on it. A mustard yellow couch is in the background. There is a black pipe that points from the left side to the right side of the table. The brown tennis ball rolls straight out of the black pipe and hits the rubber duck.,Solid Mechanics,0009_perspective-right_trimmed-ball-hits-duck.mp4
0010_perspective-left_take-1_trimmed-ball-hits-nothing.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden coffee table with a few small objects on it, including a brown tennis ball and a smaller red ball. The orange tennis ball rolls straight out of the black pipe over the entire table towards the right side.",Solid Mechanics,0010_perspective-left_trimmed-ball-hits-nothing.mp4
0011_perspective-center_take-1_trimmed-ball-hits-nothing.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden coffee table with a few small objects on it, including a brown tennis ball and a smaller red ball. The orange tennis ball rolls straight out of the black pipe over the entire table towards the right side.",Solid Mechanics,0011_perspective-center_trimmed-ball-hits-nothing.mp4
0012_perspective-right_take-1_trimmed-ball-hits-nothing.mp4,"Static locked-off single-shot with fixed frame throughout filmed with constant framerate in real-time. The scene shows a realistic scientific demonstration. The scene only contains the described setup and actions. A light-colored wooden coffee table with a few small objects on it, including a brown tennis ball and a smaller red ball. The orange tennis ball rolls straight out of the black pipe over the entire table towards the right side.",Solid Mechanics,0012_perspective-right_trimmed-ball-hits-nothing.mp4
