task_id,benchmark_id,family,model_route,seed,num_frames,fps,num_inference_steps,cfg_scale,sigma_shift,negative_prompt,prompt,h2_prompt,text_prompt,prompt_source,split,condition_summary_json,video,source_video,condition_path
oursop_0001_s43278311,0001,ball-and-block-fall,H2_ADAPTER,43278311,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0001.png,physicsiq/inputs/0001.png,physicsiq/conditions/condition_0000.pt
oursop_0001_s56382197,0001,ball-and-block-fall,H2_ADAPTER,56382197,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0001.png,physicsiq/inputs/0001.png,physicsiq/conditions/condition_0000.pt
oursop_0001_s68491523,0001,ball-and-block-fall,H2_ADAPTER,68491523,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0001.png,physicsiq/inputs/0001.png,physicsiq/conditions/condition_0000.pt
oursop_0002_s43278311,0002,ball-and-block-fall,H2_ADAPTER,43278311,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0002.png,physicsiq/inputs/0002.png,physicsiq/conditions/condition_0001.pt
oursop_0002_s56382197,0002,ball-and-block-fall,H2_ADAPTER,56382197,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0002.png,physicsiq/inputs/0002.png,physicsiq/conditions/condition_0001.pt
oursop_0002_s68491523,0002,ball-and-block-fall,H2_ADAPTER,68491523,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0002.png,physicsiq/inputs/0002.png,physicsiq/conditions/condition_0001.pt
oursop_0003_s43278311,0003,ball-and-block-fall,H2_ADAPTER,43278311,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0003.png,physicsiq/inputs/0003.png,physicsiq/conditions/condition_0002.pt
oursop_0003_s56382197,0003,ball-and-block-fall,H2_ADAPTER,56382197,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0003.png,physicsiq/inputs/0003.png,physicsiq/conditions/condition_0002.pt
oursop_0003_s68491523,0003,ball-and-block-fall,H2_ADAPTER,68491523,49,24,30,1.2,,,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,"{""e_edge_kind"": ""support"", ""e_node_encoded"": 0.22360679774997896, ""e_object_edge_raw"": null, ""e_physical"": 0.05, ""e_support_edge_encoded"": 0.22360679774997896, ""force_active_latent_slots"": [], ""force_angle_degrees"": [], ""force_encoded"": null, ""force_object_indices"": [], ""force_raw"": null, ""g_encoded"": 1.0, ""g_physical_m_s2"": 9.8, ""mu"": null}",physicsiq/inputs/0003.png,physicsiq/inputs/0003.png,physicsiq/conditions/condition_0002.pt
oprem_0007_e0_s43278311,0007,ball-hits-duck,H2_ADAPTER,43278311,49,24,30,1.2,,,A light beige coffee table with a small yellow rubber ducky on it. A mustard yellow couch is in the background. There is a black pipe on one end of the table and a brown tennis ball rolls out of it towards the rubber ducky. Static shot with no camera movement.,A light beige coffee table with a small yellow rubber ducky on it. A mustard yellow couch is in the background. There is a black pipe on one end of the table and a brown tennis ball rolls out of it towards the rubber ducky. Static shot with no camera movement.,A light beige coffee table with a small yellow rubber ducky on it. A mustard yellow couch is in the background. There is a black pipe on one end of the table and a brown tennis ball rolls out of it towards the rubber ducky. Static shot with no camera movement.,benchmark_op_unmodified,PhysDelta2010_subset,,physicsiq/inputs/0007.png,physicsiq/inputs/0007.png,physicsiq/conditions/condition_0003.pt
